Make,Model,Model w/ Mark w/ Edition,Production From,Production To,Legacy Note,GUID,Facelift Of GUID
BMW,1,1 F21 3D M135,15,19,Facelift,32cd1ee6-ae5a-4d86-beb6-c23051667ac3,8b344421-f9da-488f-9142-a575fcbb2318
BMW,1,1 F40 5D,19,,,4050bc0c-88fb-4cf9-aa70-c19e51780f2d,
BMW,1,1 F40 5D M135,19,,,5823c77d-3872-4701-aa1e-e2eacd41e9ab,
BMW,X1,X1 E84,09,12,,6d07e8a0-ab88-4481-b692-7c6f53d976f3,
BMW,X1,X1 E84,12,15,Facelift,edf84aaa-739f-40c7-aa69-cff8a9aeb6ab,6d07e8a0-ab88-4481-b692-7c6f53d976f3
BMW,X1,X1 F48,15,19,,05a72115-150c-48da-9c2c-9311d854593c,
BMW,X1,X1 F48,19,,Facelift,fc75ff6a-fd16-437e-b7a2-5d7e55928a48,05a72115-150c-48da-9c2c-9311d854593c
BMW,X1,X1 F48 M,19,,Facelift,75b97bd9-99dd-4455-92c9-d2708316ba06,
BMW,X2,X2 F39,18,,,7ee2716c-7f47-4c2d-ac21-6231f449c3f5,
BMW,X3,X3 E83,03,06,,e907c68f-a1c4-451c-bbaa-b4bf304c81da,
BMW,X3,X3 E83,06,10,Facelift,d7d75ff7-bdf4-4926-9616-e8476d909565,e907c68f-a1c4-451c-bbaa-b4bf304c81da
BMW,X3,X3 F25,10,14,,6fe00f3a-7351-4cc8-8892-2c059787a261,
BMW,X3,X3 F25,14,17,Facelift,23688da8-b52b-40db-b26f-19e0faa92c59,6fe00f3a-7351-4cc8-8892-2c059787a261
BMW,X3,X3 G01,17,21,,99a02394-3700-48b8-9268-947fcde09303,
BMW,X3,X3 G01,21,,Facelift,1ee3bba8-34dd-43fe-8bd9-1a319ced71e3,99a02394-3700-48b8-9268-947fcde09303
BMW,X4,X4 F26,14,18,,3635b0a8-43b8-4497-9447-a6e56e8c6ae6,
BMW,X4,X4 F26 M,14,18,,e5f9bac1-f1c7-4953-a642-8ab3293b41aa,
BMW,X4,X4 G02,18,21,,0c563a0e-0c8b-46e0-b446-b563004d0726,
BMW,X4,X4 F98 M,19,21,,6503652d-3921-4ed4-87be-2f69c8fa724e,
BMW,X4,X4 G02,21,,Facelift,0e5851d5-53c2-4227-8a0e-3f25f5f1d91f,0c563a0e-0c8b-46e0-b446-b563004d0726
BMW,X4,X4 F98 M,21,,Facelift,f9597ac7-81e8-4535-a69a-e111581476d9,6503652d-3921-4ed4-87be-2f69c8fa724e
BMW,X5,X5 E53,00,03,,13ad673e-40ad-41a4-8d6c-17c3df0909d8,
BMW,X5,X5 E53,03,07,Facelift,57e92d42-bc3d-4a05-9266-c2dd1e8eac22,13ad673e-40ad-41a4-8d6c-17c3df0909d8
BMW,X5,X5 E70,07,10,,a62a83e9-ef22-4401-bdae-0a587a44d436,
BMW,X5,X5 E70 M,09,13,,36ebd60c-a0b7-4ed4-b18e-8b22da766468,
BMW,X5,X5 E70,10,13,Facelift,678c8a7f-0b52-43bb-8da3-cd6892960760,a62a83e9-ef22-4401-bdae-0a587a44d436
BMW,X5,X5 F15,13,18,,8f269b31-9e49-4725-8d5e-eeae2372cb4b,
BMW,X5,X5 F15 M,14,18,,3e95ee70-6a0f-49cc-a662-c06dfad57000,
BMW,X5,X5 G05,18,,,11106315-7b62-4534-8258-2d86c77f1c78,
BMW,X5,X5 G05 M,19,,,2bd3595c-7bf1-4744-ba43-87e9bee18b54,
BMW,X6,X6 E71,08,12,,52040d88-eed7-4da8-806e-c38b3c17cbea,
BMW,X6,X6 E71,12,14,Facelift,ed544cf4-766f-4458-be1c-f908400b6622,52040d88-eed7-4da8-806e-c38b3c17cbea
BMW,X6,X6 F16,14,19,,6623ed3f-c2e5-4210-8c93-ee91ff4bcaaa,
BMW,X6,X6 G06,19,,,1d5d5c6d-ee4d-4265-8886-832e4031f2ab,
BMW,X7,X7 G07,18,,,5ce402d3-b756-4715-a970-129448a5f00f,
BMW,M2,M2 F87 Coupé,15,,,038664aa-cb2b-4630-8771-053263d24ee4,
BMW,M3,M3 E36 Coupé,92,99,,1a6c467f-8e8e-4c7d-bb0f-5e5263c989b5,
BMW,M3,M3 E36 Sedan,94,99,,8dc3ba57-fca1-40f6-b230-b4bc9bbc0e3d,
BMW,M3,M3 E36 Cabrio,94,99,,71edd329-6afa-4883-a9a4-0bcc195ee281,
BMW,M3,M3 E46 Coupé,00,06,,a1e6206d-f828-4047-86ee-640c58f4b0b9,
BMW,M3,M3 E46 Cabrio,01,06,,e1005d83-96e0-4108-a930-d45c9293ff2c,
BMW,M3,M3 E46 CSL,03,03,CSL,b7a5cecc-8c3a-4196-86db-0561d9979815,
BMW,M3,M3 E90 Sedan,08,11,,72bd8e68-59bf-4a74-9131-f38d59e37336,
BMW,M3,M3 E92 Coupé,07,13,,832f45aa-4f1f-466c-b51b-49b28f6f67a3,
BMW,M3,M3 E93 Cabrio,08,13,,3248b5b7-1381-4ca5-8212-642ef1847cdb,
BMW,M4,M4 F82 Coupé,14,,,987197bf-e417-4719-ae47-e54c7a553081,
BMW,M4,M4 F83 Cabrio,14,,,ef90e689-582a-4653-9359-b96ad4b85253,
BMW,M5,M5 E34,88,95,,0394820b-4f2d-483a-bfca-afd79b0bb582,
BMW,M5,M5 E39,97,03,,ae7ff696-0df4-4b61-a7e6-f012395922d8,
BMW,M5,M5 E60,05,10,,9c7b6d21-af6f-43b1-82a5-35057bc4955b,
BMW,M5,M5 E61 Touring,07,10,,33afabf1-7d6a-48e5-baed-b5138284d610,
BMW,M5,M5 F10,11,13,,a9ebe5ad-c7a0-4b44-92be-e4c734e6d220,
BMW,M5,M5 F10,13,16,Facelift,60e66cc6-bb73-44b3-9bcc-dafca2d817c1,a9ebe5ad-c7a0-4b44-92be-e4c734e6d220
BMW,M5,M5 F90,17,20,,259c7de4-1452-4104-a470-3d4838aa06c2,
BMW,M5,M5 F90,20,,,399bd408-2db1-41cf-8559-674dcef97ab1,259c7de4-1452-4104-a470-3d4838aa06c2
BMW,M6,M6 E63 Coupé,05,10,,b4a22612-4134-4c60-8ede-f30b51d1a9ec,
BMW,M6,M6 E64 Cabrio,05,10,,9cf3a34b-ebb5-43a3-a445-f26f7ed7acbc,
BMW,M6,M6 F12 Coupé,12,15,,af6303f6-d0a1-4f3a-83be-844590d8ea4d,
BMW,M6,M6 F13 Cabrio,12,15,,635d3791-0944-4d29-b109-30ca4a5a23f7,
BMW,M6,M6 F06 Gran Coupé,12,15,,946ddef3-e199-47c3-a337-d9d217b67af4,
BMW,M6,M6 F12 Coupé,15,17,Facelift,5491005c-1039-4742-be32-dedbd17637d9,af6303f6-d0a1-4f3a-83be-844590d8ea4d
BMW,M6,M6 F13 Cabrio,15,17,Facelift,df2ba9d8-d5bb-4bae-93cf-bf4a0a3414f6,635d3791-0944-4d29-b109-30ca4a5a23f7
BMW,M6,M6 F06 Gran Coupé,15,18,Facelift,868460e2-c196-4f9a-8523-385d861b882b,946ddef3-e199-47c3-a337-d9d217b67af4
BMW,Z,Z1 E30,89,91,,b9a812ef-5010-4b0f-aabd-9dd1da7fb72a,
BMW,Z,Z3 E36 Roadster,95,99,,65b7776b-1293-4370-8aff-d6e12727a834,
BMW,Z,Z3 E36 Coupé,95,99,,91c4e0a1-a66d-45d4-a039-0f978abfe243,
BMW,Z,Z3M E36 Roadster,98,02,,ee360c1f-5b16-4ca0-a7ba-3c89fe62f507,
BMW,Z,Z3M E36 Coupé,98,02,,9f10151d-299e-43ad-9465-7649a180155a,
BMW,Z,Z3 E36 Roadster,99,02,Facelift,dbcc5271-e94c-4880-9b30-9d4285805056,65b7776b-1293-4370-8aff-d6e12727a834
BMW,Z,Z3 E36 Coupé,99,02,Facelift,c7aa5c5f-a700-44c8-9716-b3d7510c8b4e,91c4e0a1-a66d-45d4-a039-0f978abfe243
BMW,Z,Z8 E52,00,03,,b2eff5d5-791e-46eb-b0cb-5bec2ec9c3b8,
BMW,Z,Z4 E85 Roadster,02,06,,3c1d730e-bbc6-491b-8d74-ad771b55f94b,
BMW,Z,Z4 E85 Roadster,06,08,Facelift,5569fba1-e183-45fc-9dd8-6ad0203f7e2d,3c1d730e-bbc6-491b-8d74-ad771b55f94b
BMW,Z,Z4 E86 Coupé,06,08,,7b0d1e09-29c1-434b-abc4-e04971deb487,
BMW,Z,Z4M E85 Roadster,06,08,,0f3f7191-728d-41d7-93ed-4e78ab1138e3,
BMW,Z,Z4M E86 Coupé,06,08,,94a4bffa-a17a-46fe-a22c-add08ebc9d9d,
BMW,Z,Z4 E89,09,13,,12b4dda7-5aa0-4efe-ba0f-13b95ebfb9b9,
BMW,Z,Z4 E89,13,16,Facelift,ded0c34a-33db-4c49-9e1b-4aedc9a40f4e,12b4dda7-5aa0-4efe-ba0f-13b95ebfb9b9
BMW,Z,Z4 G29,18,,,f52e6043-1287-49bf-bad6-328dc4ca543f,
Audi,A1,A1 I,10,14,,0da20ce0-3dd5-4604-b5e8-c6167fbea74b,
Audi,A1,A1 I Sportback,11,14,,0f3ec9e8-c6c8-43a2-94f1-6e97be08d411,
Audi,A1,A1 I Active,14,18,Facelift,3d0b6284-4cef-4367-b379-3f99e24689ef,
Audi,A1,A1 I,14,18,Facelift,97ed439c-4911-42aa-8995-a880c3d66c0f,
Audi,A1,A1 I Sportback,14,18,Facelift,9b76ae4e-9a0d-4578-9bf6-7f51dd6e08ca,
Audi,A1,A1 II,18,,,e5bff489-d89d-49c8-b032-bf6506d8a0ae,
Audi,A1,A1 II citycarver,18,,,a144f056-113d-46ad-b9d8-907f15f77087,
Audi,A2,A2,00,05,,555ff608-c31c-4ed3-8987-f447b7024fac,
Audi,A3,A3 I 5D,96,03,,27db83ec-2736-40c9-94c8-65744c297001,
Audi,A3,A3 I,96,03,,d1914282-d3dd-4deb-a28f-0aa7db342058,
Audi,A3,A3 II,03,05,,d1daee14-6aa1-4618-86e7-41b8ada6efa6,
Audi,A3,A3 II Sportback,04,08,,36b7d058-eed9-4f89-acc0-52ddd8db5d89,
Audi,A3,A3 II,05,08,Facelift,9ee3ff66-7207-4dc6-8d93-ec4d66b8feca,d1daee14-6aa1-4618-86e7-41b8ada6efa6
Audi,A3,A3 II,08,10,Facelift,5c302d1a-4e31-4d41-9f52-c2b45c2d4fce,9ee3ff66-7207-4dc6-8d93-ec4d66b8feca
Audi,A3,A3 II Sportback,08,10,Facelift,718502b2-e047-45a0-942d-f88ba2c06994,36b7d058-eed9-4f89-acc0-52ddd8db5d89
Audi,A3,A3 II Cabrio,08,10,,e97796c4-bef6-4be2-893a-3ed84eba37af,
Audi,A3,A3 II,10,12,Facelift,4f378cb9-3c19-4f16-9b3b-4ae291248c15,5c302d1a-4e31-4d41-9f52-c2b45c2d4fce
Audi,A3,A3 II Sportback,10,12,Facelift,7a4a867e-b817-42b5-972e-d3966db71487,718502b2-e047-45a0-942d-f88ba2c06994
Audi,A3,A3 II Cabrio,10,12,Facelift,49705290-e848-4782-9254-937b5116d086,e97796c4-bef6-4be2-893a-3ed84eba37af
Audi,A3,A3 III,12,16,,9ef25a33-a4e5-49b4-9ca5-c1b343ab934b,
Audi,A3,A3 III Sportback,12,16,,e8c0dfa8-76f8-4fd0-adfa-bfab040e26fa,
Audi,A3,A3 III Sedan,12,16,,4ceb45e4-211a-45f4-bce2-2c5ea473da4c,
Audi,A3,A3 III Cabrio,12,16,,1b7ce43f-b975-4be4-ada2-e24b351f164a,
Audi,A3,A3 III,16,20,Facelift,3bbfbdc1-2cad-4184-b03a-fe791a7be260,9ef25a33-a4e5-49b4-9ca5-c1b343ab934b
Audi,A3,A3 III Sportback,16,20,Facelift,155d1005-3569-49fe-b330-4409b48d068d,e8c0dfa8-76f8-4fd0-adfa-bfab040e26fa
Audi,A3,A3 III Sedan,16,20,Facelift,ea50d5eb-4e46-4a67-8036-f4a8e5d86791,4ceb45e4-211a-45f4-bce2-2c5ea473da4c
Audi,A3,A3 III Cabrio,16,20,Facelift,2cedf30f-10ed-48bb-ac8a-58e743f9abd1,1b7ce43f-b975-4be4-ada2-e24b351f164a
Audi,A3,A3 IV Sportback,20,,,aff10485-0af5-4ea6-9001-19dd904b3c27,
Audi,A3,A3 IV Sedan,20,,,591020a3-c392-4eb8-8d1b-1c735cb04269,
Audi,A4,A4 B5 Sedan,95,00,,c37f0973-1463-4cd0-80a7-9a1ac87f9072,
Audi,A4,A4 B5 Avant,95,01,,e50e8d84-c3e9-4f9d-af52-900438a4f797,
Audi,A4,A4 B6 Sedan,00,04,,5e80887c-999c-4822-b981-8f0e7d335186,
Audi,A4,A4 B6 Avant,01,04,,6abf5515-3800-4805-a7fc-6c717e54f709,
Audi,A4,A4 B6 Cabrio,02,05,,5e6be8f0-9172-4630-8875-024c72de3365,
Audi,A4,A4 B7 Sedan,04,07,,cde1ab12-3496-4eb8-a140-d5a32c92026b,
Audi,A4,A4 B7 Avant,04,08,,e36f132f-efe5-49b9-b9ef-5908befcf620,
Audi,A4,A4 B7 Cabrio,05,,,d9476b72-bf3c-4751-932e-c28cb88c4fc9,
Audi,A4,A4 B8 Sedan,07,11,,f1dda0a5-19ce-4398-92e2-408fb09ea105,
Audi,A4,A4 B8 Avant,08,09,,5e09dc0b-cfa5-4c7f-9f3e-2b0a9de31349,
Audi,A4,A4 B8 Allroad,09,10,,50f4693e-da69-4c01-8888-10385c5c9eea,
Audi,A4,A4 B8 Sedan,11,14,Facelift,c9645c46-b1cf-4123-8dc7-3e4de037baeb,f1dda0a5-19ce-4398-92e2-408fb09ea105
Audi,A4,A4 B8 Avant,09,14,Facelift,388d3f15-54b0-408b-ad72-2d3f95e70349,5e09dc0b-cfa5-4c7f-9f3e-2b0a9de31349
Audi,A4,A4 B8 Allroad,10,15,Facelift,6fd37c99-bc1d-4cd6-a932-fe07030f981b,50f4693e-da69-4c01-8888-10385c5c9eea
Audi,A4,A4 B9 Sedan,14,18,,fb76d83a-1c56-4946-954d-6ca783803ff2,
Audi,A4,A4 B9 Sedan,14,18,S-Line,40d170a0-abf7-46e5-907a-91ffdd4db33e,
Audi,A4,A4 B9 Avant,14,18,,c7774122-5ab4-4437-aaad-3ce935130fbb,
Audi,A4,A4 B9 Allroad,15,18,,5720fbd9-927e-41cf-a4e5-9e75d0fdc596,
Audi,A4,A4 B9 Sedan,18,,Facelift,3723c1c0-6034-437c-bc84-6853a4e89a23,fb76d83a-1c56-4946-954d-6ca783803ff2
Audi,A4,A4 B9 Avant,18,,Facelift,0aa21cff-f3a8-4ca3-a4df-b46f823bc174,c7774122-5ab4-4437-aaad-3ce935130fbb
Audi,A4,A4 B9 Allroad,18,,Facelift,1b164978-7611-4d92-8e9c-67a5a8573828,5720fbd9-927e-41cf-a4e5-9e75d0fdc596
Audi,A5,A5 I Sportback,09,11,,6be6f4ab-455f-4b2b-bf15-c849b41e3f79,
Audi,A5,A5 I Coupé,07,11,,dc967f16-39b3-4ea6-8f68-bb081af1cae5,
Audi,A5,A5 I Cabrio,09,11,,2d8c6e03-48ae-4981-ad2d-fdb9b340bac0,
Audi,A5,A5 I Sportback,11,15,Facelift,5e76000b-430e-4790-84aa-b8fb106c19cf,6be6f4ab-455f-4b2b-bf15-c849b41e3f79
Audi,A5,A5 I Coupé,11,15,Facelift,32f56ce6-17e5-49fc-ae5b-b76ad7f624af,dc967f16-39b3-4ea6-8f68-bb081af1cae5
Audi,A5,A5 I Cabrio,11,15,Facelift,ed3310f2-af95-4a48-b3b3-b6be53052389,2d8c6e03-48ae-4981-ad2d-fdb9b340bac0
Audi,A5,A5 II Sportback,15,19,,8c3e51d9-7b8c-4fbb-a8e2-e7576bda635b,
Audi,A5,A5 II Coupé,15,19,,03755c65-e104-4aff-acc0-bad4924d5edf,
Audi,A5,A5 II Cabrio,17,19,,fbb181f8-68a7-46f5-81c7-c0d617721e55,
Audi,A5,A5 II Sportback,19,,Facelift,b1a681ec-e4d4-4b3a-b7f0-90a756f238cc,8c3e51d9-7b8c-4fbb-a8e2-e7576bda635b
Audi,A5,A5 II Coupé,19,,Facelift,170c46d9-efa9-48cc-8b8e-3efcabff5fa7,03755c65-e104-4aff-acc0-bad4924d5edf
Audi,A5,A5 II Cabrio,19,,Facelift,e61b77dd-0799-4e32-ba0e-bcc1c2607252,fbb181f8-68a7-46f5-81c7-c0d617721e55
Audi,A6,A6 C5,97,05,,0456f9e8-a334-453e-ab16-9632abfacd3f,
Audi,A6,A6 C5 Avant,97,05,,24c953a7-b972-44fb-a2ae-2f670264247c,
Audi,A6,A6 C5 Allroad,00,05,,0e528aad-b2cf-442d-b8af-ec1bac7b1803,
Audi,A6,A6 C6,04,11,,1ab7f491-7a4e-4d89-bdf6-19658a269812,
Audi,A6,A6 C6 Avant,05,11,,43bb426a-24b0-462d-82d5-915ced7c34db,
Audi,A6,A6 C6 Allroad,06,12,,43d6740b-a4a7-4154-a06c-6e3bf6ca1f57,
Audi,A6,A6 C7,11,14,,96237d90-d383-4673-8e91-1bff83bcbbb1,
Audi,A6,A6 C7 Avant,11,14,,95dffdc9-d198-440b-a5d9-8baef6a98790,
Audi,A6,A6 C7 Allroad,12,14,,dd67f973-880a-46f4-91bb-ea6013c769b8,
Audi,A6,A6 C7,14,18,Facelift,d09cbf5b-5bd8-450d-a249-e6370d6f5e91,96237d90-d383-4673-8e91-1bff83bcbbb1
Audi,A6,A6 C7 Avant,14,18,Facelift,f1662835-634c-445a-ab08-0271014d6cb0,95dffdc9-d198-440b-a5d9-8baef6a98790
Audi,A6,A6 C7 Allroad,14,18,Facelift,1a046865-8864-488d-b161-efe78b2d8b44,dd67f973-880a-46f4-91bb-ea6013c769b8
Audi,A6,A6 C8,18,,,7da0aefe-a7ab-4840-bc43-05ffb9270312,
Audi,A6,A6 C8 Avant,18,,,94d10194-176b-4adc-bbf6-706c75748052,
Audi,A6,A6 C8 Allroad,18,,,1b055b8f-b463-4a88-9296-813bd22ab2a9,
Audi,A7,A7 I,10,14,,20eb8766-1804-43b3-8fe7-f950a4cd3b65,
Audi,A7,A7 I,14,18,Facelift,7b0e1a91-5f31-45b7-a4e4-db3f21f32200,20eb8766-1804-43b3-8fe7-f950a4cd3b65
Audi,A7,A7 II,18,,,8664b8c7-edfa-4941-8eac-84b068060d84,
Audi,A8,A8 D2,94,99,,62b5e493-9f85-4594-a368-9f6133bd1277,
Audi,A8,A8 D2,99,01,Facelift,ce6333db-04c1-4f71-af9b-00258bf1e25e,62b5e493-9f85-4594-a368-9f6133bd1277
Audi,A8,A8 D2 L,99,01,,f5c96d2c-874e-4934-b4a2-e74ae17cbce8,
Audi,A8,A8 D2,01,02,Facelift,0f8fd5c6-fc78-4bb8-8f1f-8e79120291da,ce6333db-04c1-4f71-af9b-00258bf1e25e
Audi,A8,A8 D2 L,01,02,Facelift,0f2a8cef-4389-4376-ad6a-1b6cdaaffeb2,f5c96d2c-874e-4934-b4a2-e74ae17cbce8
Audi,A8,A8 D3,02,05,,37c9dfc1-a69c-4867-ab64-1650efc1f736,
Audi,A8,A8 D3 L,03,05,,f6907f3a-2e8f-46d9-8f0a-7f00fa1581ae,
Audi,A8,A8 D3,05,07,Facelift,1c90edb5-cfbc-44de-890b-eac643328142,37c9dfc1-a69c-4867-ab64-1650efc1f736
Audi,A8,A8 D3 L,05,07,Facelift,43e9ef0e-0e6c-485b-89b3-32760ccde7d4,f6907f3a-2e8f-46d9-8f0a-7f00fa1581ae
Audi,A8,A8 D3,07,10,Facelift,ed611a00-b304-4db3-9478-c252d9ed9e94,1c90edb5-cfbc-44de-890b-eac643328142
Audi,A8,A8 D3 L,07,10,Facelift,9d03105f-6525-47a8-b797-d067defb18f5,43e9ef0e-0e6c-485b-89b3-32760ccde7d4
Audi,A8,A8 D4,10,13,,705757df-ae29-4ba5-b777-34d0b7a6b0ab,
Audi,A8,A8 D4 L,10,13,,944db9e7-5f19-4a7c-b136-50195236495a,
Audi,A8,A8 D4,13,17,Facelift,f8bb1128-b6fc-40be-8217-42e17e85e839,705757df-ae29-4ba5-b777-34d0b7a6b0ab
Audi,A8,A8 D4 L,13,17,Facelift,88b9caab-1f9f-4d61-9ef5-6ec97c9d65b7,944db9e7-5f19-4a7c-b136-50195236495a
Audi,A8,A8 D5,17,21,,bf2bcaa9-bf2f-4019-86f0-5acdb9975092,
Audi,A8,A8 D5 L,17,21,,2771cb87-9e2f-4780-847b-5cb944f16cba,
Audi,A8,A8 D5,21,,Facelift,2ba3973c-3c63-4336-842e-8b5b8090a149,
Audi,A8,A8 D5 L,21,,Facelift,dc2bcfa2-65a0-4599-827f-c32f27b45fbd,
Audi,Q2,Q2 I,15,20,,ce4cceec-4a43-43e2-b0ae-37c64b27d231,
Audi,Q2,Q2 I,20,,Facelift,42f1dfb0-ee2a-4329-beba-20a43caae3ed,ce4cceec-4a43-43e2-b0ae-37c64b27d231
Audi,Q3,Q3 I,11,15,,a0a04a1f-fe0f-4530-8a02-4c3fe4cd24d9,
Audi,Q3,Q3 I,15,18,Facelift,44434772-c2f3-45c2-95a9-de590cf9d287,a0a04a1f-fe0f-4530-8a02-4c3fe4cd24d9
Audi,Q3,Q3 II,18,,,89cb8f03-f3ab-4c3d-9a32-de2e6cf66289,
Audi,Q3,Q3 II Sportback,19,,,e901368c-c59d-4c46-a0f8-94712371c1c8,
Audi,Q5,Q5 I,08,12,,9fb0e23f-f937-4d98-9436-2189a39d3cb5,
Audi,Q5,Q5 I,12,16,Facelift,db927ef9-156b-498f-8319-3aa4299f7ff3,9fb0e23f-f937-4d98-9436-2189a39d3cb5
Audi,Q5,Q5 II,17,20,,7132c751-7e61-4336-a0b3-a121ae60cd8d,
Audi,Q5,Q5 II,17,20,S-Line,4336f9db-122a-4835-998d-d561ef8444cc,
Audi,Q5,Q5 II,20,,Facelift,70af9467-f4fb-4acb-b768-5580ad76d352,7132c751-7e61-4336-a0b3-a121ae60cd8d
Audi,Q5,Q5 II Sportback,21,,,ae1e6a72-01de-4aef-b21d-d6af2a15b376,
Audi,Q7,Q7 I,05,09,,8fabfae3-3f39-4fb7-872b-597f566ff985,
Audi,Q7,Q7 I,09,15,Facelift,e26b4892-0df8-4a40-a898-be859557baf5,8fabfae3-3f39-4fb7-872b-597f566ff985
Audi,Q7,Q7 II,15,19,,aed7fdb4-0be3-48a7-bb4d-f2781ce8bcc8,
Audi,Q7,Q7 II,19,,Facelift,8ce6c9e8-ca47-451a-92ca-221edfcdf424,aed7fdb4-0be3-48a7-bb4d-f2781ce8bcc8
Audi,Q8,Q8,18,,,87786eca-5b87-460d-b18d-87954dc86170,
Audi,R8,R8,07,,,59240d69-8797-43ba-bf79-cc73c0909739,
Audi,TT,TT I,98,06,,4dc3eea1-2f16-4f69-8566-556c10e94d23,
Audi,TT,TT I Roadster,99,06,,f52cfb3f-d140-444a-8f12-154d0231469c,
Audi,TT,TT II,06,13,,cf41f7c3-d4f2-4b3a-903d-eea90b7582d2,
Audi,TT,TT II Roadster,07,13,,4c90923f-da5e-4b9d-95dd-b397bc5444b8,
Audi,TT,TT III,14,18,,0ab95c81-d94d-49a6-abe4-e7769c357031,
Audi,TT,TT III Roadster,14,18,,053f6ce1-4914-48e1-936f-1fdca5d9a43c,
Audi,TT,TT III,18,,Facelift,c6c89ee5-3ac3-4ebc-afbb-4842e8f52686,0ab95c81-d94d-49a6-abe4-e7769c357031
Audi,TT,TT III Roadster,18,,Facelift,07fb8962-1e04-4163-a968-fd2de4c3898b,053f6ce1-4914-48e1-936f-1fdca5d9a43c
Audi,S1,S1,14,,,695aed64-e721-40ea-8178-1aa6170986fd,
Audi,S1,S1 Sportback,14,,,6f4264ff-bf74-498a-973a-a27e2b17e6d6,
Audi,S3,S3 I,99,03,,c8130b5d-d20f-47de-825c-4a4982b3f9e1,
Audi,S3,S3 II,03,12,,3b980f28-c5a0-4d81-9044-ea3f56fed72e,
Audi,S3,S3 III,12,15,,0fb33a8b-7d34-4cac-a4ec-0d4e567fc9ff,
Audi,S3,S3 III Sedan,12,15,,e5771f36-d1cf-47a5-b6d9-b00873af3545,
Audi,S3,S3 III Sportback,12,15,,97d2c8f3-5771-4d9f-98a1-24b20102161f,
Audi,S3,S3 III Cabrio,13,15,,81e8fc3b-5f55-456e-b3b8-31427113968e,
Audi,S3,S3 III,15,,Facelift,9aa105d8-dded-4c5a-9f98-f9463d76bdd2,0fb33a8b-7d34-4cac-a4ec-0d4e567fc9ff
Audi,S3,S3 III Sedan,15,,Facelift,f9ef3e3c-d05e-41c2-9d19-499c2f1f20a3,e5771f36-d1cf-47a5-b6d9-b00873af3545
Audi,S3,S3 III Sportback,15,,Facelift,48d72503-6cbc-402a-a092-845386a67e20,97d2c8f3-5771-4d9f-98a1-24b20102161f
Audi,S3,S3 III Cabrio,15,,Facelift,abd09e55-ac81-4ad6-b06a-cb63bc30a4dc,81e8fc3b-5f55-456e-b3b8-31427113968e
Audi,S3,S3 IV Sedan,20,,,29508d4d-acd3-4c27-9358-d5a57a979255,
Audi,S3,S3 IV Sportback,20,,,393e48ef-e22a-4fd1-a5ee-305f96bacf7f,
Audi,S4,S4 B8,09,11,,f2fc21c9-7310-4c47-881c-4db2e47a7ab6,
Audi,S4,S4 B8 Avant,09,11,,a914d40c-6aa5-4feb-8367-99b25951278f,
Audi,S4,S4 B8,12,15,Facelift,89b3da01-3098-41fe-89c6-57c39976477f,f2fc21c9-7310-4c47-881c-4db2e47a7ab6
Audi,S4,S4 B8 Avant,12,15,Facelift,5c50cc0f-1b97-4bca-989e-29d2955d7e88,a914d40c-6aa5-4feb-8367-99b25951278f
Audi,S4,S4 B9,15,18,,54d696cc-bd89-431f-8e25-eb131554f1e3,
Audi,S4,S4 B9 Avant,15,18,,9cf9aec3-f6e0-455d-9406-f69052d77eab,
Audi,S4,S4 B9,18,,Facelift,c7d87fba-3410-40e5-b1f8-7e1224cf290b,54d696cc-bd89-431f-8e25-eb131554f1e3
Audi,S4,S4 B9 Avant,18,,Facelift,ceedfc3d-ecd2-41cc-8a50-3c6794478fc7,9cf9aec3-f6e0-455d-9406-f69052d77eab
Audi,S5,S5 I Sportback,10,11,,6b23df08-203f-425d-8c12-993fe485a0de,
Audi,S5,S5 I Coupé,08,11,,bb32dd45-fc8a-4545-bbc9-323613f40ae8,
Audi,S5,S5 I Cabrio,09,11,,8ec3d98a-83d3-458f-aad4-26d075635e2e,
Audi,S5,S5 I Sportback,12,15,Facelift,8aaed452-3bb4-4d81-b32d-5ccd21fd4d56,6b23df08-203f-425d-8c12-993fe485a0de
Audi,S5,S5 I Coupé,12,15,Facelift,1498f8ca-a97e-4f9b-b4a5-7a615c82577b,bb32dd45-fc8a-4545-bbc9-323613f40ae8
Audi,S5,S5 I Cabrio,12,15,Facelift,5cf07029-cdb4-4eb5-9f5b-857c8262b7b3,8ec3d98a-83d3-458f-aad4-26d075635e2e
Audi,S5,S5 II Sportback,15,19,,938f7c8f-761d-4df1-a4df-966d86efd8c3,
Audi,S5,S5 II Coupé,15,19,,8a0454ce-efa8-45d3-b61b-ea8a58bae07b,
Audi,S5,S5 II Cabrio,17,19,,290572ea-6f38-4909-a4da-242dac257525,
Audi,S5,S5 II Sportback,19,,Facelift,7dfee910-760f-4369-9b41-2de32eea579b,938f7c8f-761d-4df1-a4df-966d86efd8c3
Audi,S5,S5 II Coupé,19,,Facelift,f8b23020-b6ac-4756-97f2-783b3a2e6a0a,8a0454ce-efa8-45d3-b61b-ea8a58bae07b
Audi,S5,S5 II Cabrio,19,,Facelift,d3dabd79-2a75-4136-bde3-de735ea0cae4,290572ea-6f38-4909-a4da-242dac257525
Audi,S6,S6 C7,11,14,,343911ad-6af0-470d-9b27-2092fa046802,
Audi,S6,S6 C7 Avant,11,14,,1f4e3728-e8ea-45d6-89f6-697b4b9b211d,
